video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_703,Kenneth Lagom,https://www.youtube.com/watch?v=oC5JzbUk7H0,CC-BY 3.0,21,TRUE,15,0,0,0,0,221,0,0,235,0,44,59,0,0,15,44,0,368,579,surprise,0.62,-0.6,448,315
VID_704,Ace Alderman,https://www.youtube.com/watch?v=yS08DkHP8g0,CC-BY 3.0,68,TRUE,227,0,0,0.03,61,76,45,0,45,0,0.03,15,0,0,0,0,0,0.47,542,surprise,-431,562,0.4,513
VID_705,Tariq Adnan,https://www.youtube.com/watch?v=pzM0Yxdjeak,CC-BY 3.0,41,TRUE,0,0,0,0,0,347,0,0,97,0,56,0,0,0,0,28,0,472,735,surprise,916,-388,383,374
VID_706,Azarz Chronica,https://www.youtube.com/watch?v=MGSWPKG5YDQ,CC-BY 3.0,20,TRUE,42,0,14,0,0,14,14,0,333,14,111,42,0,0,0,0,0,417,589,surprise,0.05,-125,355,0.45
VID_707,The Big Crew,https://www.youtube.com/watch?v=xVGfB0FSmrM,CC-BY 3.0,25,FALSE,14,0,0,0,0,0,14,0,205,14,315,27,0,0,0,0,14,397,641,surprise,411,-112,422,398
VID_708,Nirshan Ibrahim,https://www.youtube.com/watch?v=1xp95yql2VA,CC-BY 3.0,22,TRUE,0,0,14,0,0,342,0,0,219,0,192,96,0,0,0,68,0,68,588,fascination,738,-624,487,346
VID_709,crazy indians,https://www.youtube.com/watch?v=IKi2qYDye9g,CC-BY 3.0,18,TRUE,183,0,0,42,0,14,85,0,0,56,14,0,0,0,42,0,0,563,616,surprise,-991,1208,447,444
VID_710,Kai Squires,https://www.youtube.com/watch?v=7JccVCLD2bY,CC-BY 3.0,13,TRUE,13,13,0,0,0,573,0,0,173,0,13,0.08,0,13,13,53,0,53,0.57,fascination,667,-544,498,348
VID_711,Fruchtpudding,https://www.youtube.com/watch?v=bpSIkPrl6vQ,CC-BY 3.0,26,TRUE,15,15,15,0,29,397,0,0,147,0,0,59,0,0,0,15,0,309,579,fascination,293,-272,359,445
VID_712,Fame Magazine,https://www.youtube.com/watch?v=49ivrVftEl4,CC-BY 3.0,62,TRUE,13,0,0,0,0,133,0,0,27,0,627,13,13,0,0,0.08,0,93,648,joy,1154,-0.24,0.48,423
VID_713,Biblioteca Castilla y León,https://www.youtube.com/watch?v=YCm6Rxy1H78,CC-BY 3.0,64,TRUE,0,0,0,0,0,183,0,0,99,0,254,0,14,0,0,99,0,352,643,surprise,947,-482,409,325
VID_714,Foxxel Pobieski,https://www.youtube.com/watch?v=VMhUHr0meFE,CC-BY 3.0,13,TRUE,233,0,0,0,0,27,27,0,123,41,0,27,0,27,0,0,0,493,601,surprise,-412,523,351,577
VID_715,Jairo Lerma,https://www.youtube.com/watch?v=MtgRCCpFcBg,CC-BY 3.0,26,FALSE,14,0,0,0,14,0,0,0,0.07,14,296,14,0,0,0,14,0,563,682,surprise,938,0.23,418,423
