Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
3_M_008,Being scared,3,M,2.9310344827586206,1.7953357596890196,5.857142857142857,2.496751135729437,2.5,1.6263951827039393,3.4615384615384617,1.8810798862519205,6.107142857142857,2.377974328028354,5.607142857142857,2.62945263582008
1_F_009,Dropping the phone ,1,F,3.2115384615384617,1.730199336374206,5.311475409836065,2.754033306543679,3.076923076923077,1.718675697694639,3.3461538461538463,1.765045216243656,5.580645161290323,2.5003225598361913,5.033333333333333,3.0112814700645343
1_M_009,Dropping the phone ,1,M,3.1724137931034484,1.5798948558672774,5.892857142857143,2.3945283948548686,3.03125,1.2822453843966262,3.3461538461538463,1.8961499453852837,6.107142857142857,2.39349868995911,5.678571428571429,2.4198801841868343
3_F_009,Dropping the phone ,3,F,2.725,1.8114663277053364,5.079365079365079,2.5355637363989745,2.619047619047619,2.0365704131257156,2.8421052631578947,1.5727950313140981,5.8125,2.3477855042983693,4.32258064516129,2.5349174447332405
3_M_009,Dropping the phone ,3,M,3.6065573770491803,1.960260939472006,5.132075471698113,2.8825585313228554,3.2903225806451615,1.6771711975247046,3.933333333333333,2.1961303480775283,4.923076923076923,2.7117975871820064,5.333333333333333,3.075961388174185
1_F_010,Dropping ice-cream,1,F,3.625,2.09624205883547,5.666666666666667,2.3759548165574573,3.3333333333333335,2.1291625896895083,3.9473684210526314,2.067571957918174,6.15625,2.4111217440262385,5.161290322580645,2.267109381180485
1_M_010,Dropping ice-cream,1,M,3.7704918032786887,2.0198468805246175,4.716981132075472,2.8445451068706524,3.6774193548387095,2.1662116974754726,3.8666666666666667,1.8888663510036972,4.230769230769231,2.687864465447502,5.185185185185185,2.9617697027418877
3_F_010,Dropping ice-cream,3,F,3.4615384615384617,1.9449435544159765,4.672131147540983,2.687758120785238,2.769230769230769,1.6566880770426835,4.153846153846154,1.9938366571473738,5.387096774193548,2.5907195828551663,3.933333333333333,2.6252531350306976
3_M_010,Dropping ice-cream,3,M,3.5517241379310347,1.6561677789519746,5.089285714285714,2.444115647570977,3.375,1.497309414874216,3.769230769230769,1.8397324220156,5.428571428571429,2.515560042623179,4.75,2.3668231560156436
1_F_011,Throwing a ring on the ground,1,F,3.7,1.8285485346552175,4.761904761904762,2.473826119233679,3.761904761904762,2.0224925687072846,3.6315789473684212,1.6401397743888062,5.40625,2.312091289078409,4.096774193548387,2.494725618976663
1_M_011,Throwing a ring on the ground,1,M,3.6065573770491803,1.6958644651483814,4.132075471698113,2.849006141480654,3.4838709677419355,1.8233845405716533,3.7333333333333334,1.5742175578808129,3.9615384615384617,2.8068597290319905,4.296296296296297,2.9327699536683065
3_F_011,Throwing a ring on the ground,3,F,3.673076923076923,1.7570156722118875,4.540983606557377,2.6430649537472166,3.5384615384615383,1.8161667154921484,3.8076923076923075,1.7209121016305458,5.354838709677419,2.5370374730746383,3.7,2.520946729661915
3_M_011,Throwing a ring on the ground,3,M,3.0689655172413794,1.631510643926732,4.982142857142857,2.460532621043822,2.8125,1.5951033943634116,3.3846153846153846,1.6511068548564158,4.571428571428571,2.71386797119524,5.392857142857143,2.148889217182884
1_F_012,Throwing a rock,1,F,3.6721311475409837,2.5672378897394106,5.811320754716981,2.4103670624838682,3.3548387096774195,2.3600619638302467,4,2.7667982242644844,5.653846153846154,2.314170394630571,5.962962962962963,2.5340979502877192
1_M_012,Throwing a rock,1,M,3.2115384615384617,2.234634140880727,5.868852459016393,2.5197579899404734,3.5,2.23159136044214,2.923076923076923,2.243623442970356,6.387096774193548,2.1397417189128016,5.333333333333333,2.795727446304984
3_F_012,Throwing a rock,3,F,4,2.3169853371636986,5.75,2.282343293435698,3.5625,2.2279384366313524,4.538461538461538,2.3533936216582085,5.5,2.4720661623652207,6,2.09054308024742
3_M_012,Throwing a rock,3,M,2.7,2.3005016175407684,5.650793650793651,2.2729739660369224,3.0952380952380953,2.7731707827820826,2.263157894736842,1.5931138364556479,6.25,2.0160645150967413,5.032258064516129,2.3872420763682087
1_F_013,Measuring one's fever,1,F,3.230769230769231,1.5670051943228178,4.213114754098361,2.7148649696216363,3.423076923076923,1.7244843153378215,3.0384615384615383,1.3994504415882465,4.645161290322581,2.6651877619506688,3.7666666666666666,2.7377732372953343
1_M_013,Measuring one's fever,1,M,3.1551724137931036,1.5194842631275645,4.732142857142857,2.4899147223700906,2.84375,1.4167061980569235,3.5384615384615383,1.580652250958932,4.964285714285714,2.6871731374996046,4.5,2.301368353023109
3_F_013,Measuring one's fever,3,F,3.275,1.9213710382606133,3.507936507936508,2.2566962426050186,2.9047619047619047,1.813966976126134,3.6842105263157894,2.001461454341895,3.84375,2.4111217440262385,3.161290322580645,2.0671522149009474
3_M_013,Measuring one's fever,3,M,3.459016393442623,1.638838719864397,4.679245283018868,2.5250558630961355,3.225806451612903,1.6064386578049978,3.7,1.6640208884630565,4.115384615384615,2.3379807197994267,5.222222222222222,2.621410855206576
1_F_014,Losing hair,1,F,2.377049180327869,1.4394898914341092,6.018867924528302,2.713857360047162,2.161290322580645,1.344043010064494,2.6,1.5222487902147745,6.115384615384615,2.643133338701218,5.925925925925926,2.827419670707197
